Time of Occurrence,Latitude,Longitude, SST,Chlorophyll a, par,Cells per litre,Day of year,Temperature,Dew point Temperature,Sea level pressure(hPa),Visibility(mi),Wind Speed(knots),Max Temperature(°F),rrsdiff,a_443,a_488,a_547,a_645,a_667,a_678,bb_443,bb_469,adg_443,angstrom
24-08-2000,34.583056,127.833056,-4.265,2.49619,27.769,15000000,237,78.5,73.2,1012.1,6.7,7,82.9,0.0136,0.1514,0.1096,0.0898,0.3577,0.4969,0.5295,0.01948,0.01826,0.0197,0.617
01-03-2001,37.048611,15.299722,,,,46000000,60,52.4,44.2,1008.8,8.5,11.1,59,,,,,,,,,,,
08-08-2002,34.583056,12,23.785,0.09661,56.396,30000000,220,82.2,64.8,1014.1,6.7,12,88.2,0.01284,0.0218,0.0222,0.0554,0.3274,0.4351,0.4622,0.00326,0.00268,0.0108,0.4291
04-11-2002,27.338056,-80.232778,29.02,22.67407,38.944,12400000,308,71.7,63.6,1018.4,9.4,12,86,0.022,0.176,0.1035,0.856,0.3432,0.4638,0.493,0.01506,0.0142,0.0802,0.2675
19-04-2005,60.383333,1.133333,7.575,0.51427,42.196,10000000,109,46.7,36.3,9999.9,6.4,22.9,50,0.02539,0.0969,0.059,0.0674,0.3315,0.4414,0.4687,0.00273,0.00222,0.0728,1.7138
05-08-2005,43.154167,13.906111,25.98,2.34794,,100000000,217,69,47.7,9999.9,6.6,14,76.5,0.0307,0.1985,0.1224,0.0935,0.3519,0.4821,0.513,0.6469,0.06175,0.0378,0.8536
05-08-2005,38.736667,-9.108611,,,34.336,75000000,217,82.7,51.2,1015.8,5.6,5.8,101.3,??,,,,,,,,,,
01-03-2006,-12.049167,-77.144167,30.135,3.28211,58.532,16000000,60,75.1,65.9,1011.1,6.4,8,84.4,0.05943,0.2289,0.1714,0.1203,0.3881,0.56,0.5987,0.01689,0.01574,-0.0161,1.0326
04-07-2006,43.15,13.9,25.015,0.62574,63.84,38000000,185,71.6,9999.9,1017.3,999.9,13,79.2,0.00733,0.0676,0.0485,0.0633,0.3324,0.4447,0.4727,0.00955,0.00856,0.0338,1.1637
03-01-2007,-5.6,80.951389,29.775,0.07102,58.688,12000000,3,82.2,74.2,1012.6,7,9.9,89.6,0.05434,0.0202,0.0222,0.055,0.3276,0.4356,0.4628,0.00324,0.00267,0.0065,1.1347
18-01-2007,-13.819167,76.251667,28.34,0.03413,62.426,19504000,18,83,74.5,1011.7,6.9,6,91.4,0.0099,0.0182,0.0214,0.0546,0.3274,0.4354,0.4625,0.0043,0.00361,0.0047,0.6513
12-08-2008,37.068333,-76.617778,27.985,10.2938,57.962,17150000,225,75.6,55.6,1011.3,10,8,85.5,0.03497,1.9081,0.9806,0.478,0.5335,0.801,0.8581,0.10345,0.10204,1.3863,1.5129
07-12-2008,-13.819444,-76.251944,34.705,15.01283,61.75,15088000,342,68.2,62.5,1013.2,5.8,16.9,75.2,0.08671,0.5135,0.3575,0.207,0.4589,0.7025,0.7545,0.02799,0.02649,0.0213,1.5402
